1993/06/08	1993/SN+//SP+06/SN+//SP+08/SN
가치관	가치관/NNG
명료화,	명료/XR+화/XSN+,/SP
인생설계	인생/NNG+설계/NNG
주제로	주제/NNG+로/JKB
강의와	강의/NNG+와/JC
역할극으로	역할/NNG+극/NNG+으로/JKB
짜여져	짜이/VV+어/EC+지/VX+어/EC
자신의	자신/NNG+의/JKG
가치관을	가치관/NNG+을/JKO
정돈하고	정돈/NNG+하/XSV+고/EC
친구가	친구/NNG+가/JKC
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
있도록	있/VV+도록/EC
쉼터의	쉼터/NNG+의/JKG
이희연	이희연/NNP
간사는	간사/NNG+는/JX
또래	또래/NNG
상담자의	상담자/NNG+의/JKG
의의를	의의/NNG+를/JKO
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF
학교	학교/NNG
공부에	공부/NNG+에/JKB
흥미를	흥미/NNG+를/JKO
잃은	잃/VV+은/ETM
집과	집/NNG+과/JC
양쪽에서	양쪽/NNG+에서/JKB
설	설/NNB
자리를	자리/NNG+를/JKO
잃으면서	잃/VV+으면서/EC
무단	무단/NNG
가출이나	가출/NNG+이나/JC
약물과용,	약물/NNG+과용/NNG+,/SP
도벽	도벽/NNG
일으켜	일으키/VV+어/EC
이들은	이/NP+들/XSN+은/JX
어른들은	어른/NNG+들/XSN+은/JX
우리를	우리/NP+를/JKO
모른다	모르/VV+ㄴ다/EC
며	며/EC
닫아두고	닫/VV+아/EC+두/VX+고/EC
공감대를	공감대/NNG+를/JKO
이야기를	이야기/NNG+를/JKO
나눌	나누/VV+ㄹ/ETM
상담자가	상담자/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
상담을	상담/NNG+을/JKO
문제에	문제/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
또래를	또래/NNG+를/JKO
도우면서	돕/VV+면서/EC
자아개념을	자아/NNG+개념/NNG+을/JKO
명확히	명확히/MAG
주체적으로	주체/NNG+적/XSN+으로/JKB
힘을	힘/NNG+을/JKO
키울	키우/VV+ㄹ/ETM
각	각/MM
상담교사를	상담/NNG+교사/NNG+를/JKO
통해	통하/VV+아/EC
이제까지	이제/NNG+까지/JX
프로그램에	프로그램/NNG+에/JKB
참가하겠다고	참가/NNG+하/XSV+겠/EP+다고/EC
뜻을	뜻/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
학생은	학생/NNG+은/JX
고등학교	고등학교/NNG
1∼2학년생	1/SN+∼/SO+2/SN+학년/NNG+생/XSN
명.	명/NNB+./SF
여학생이	여학생/NNG+이/JKS
대다수를	대다수/NNG+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF
성적이	성적/NNG+이/JKS
우수하고	우수/NNG+하/XSA+고/EC
인간관계가	인간관계/NNG+가/JKS
원만한	원만/XR+하/XSA+ㄴ/ETM
모범생이	모범/NNG+생/XSN+이/JKS
대부분이지만,	대부분/NNG+이/VCP+지만/EC+,/SP
상담실을	상담실/NNG+을/JKO
드나들며	드나들/VV+며/EC
도움을	도움/NNG+을/JKO
얻은	얻/VV+은/ETM
학생이	학생/NNG+이/JKS
친구를	친구/NNG+를/JKO
돕겠다고	돕/VV+겠/EP+다고/EC
나서는	나서/VV+는/ETM
많다고	많/VA+다고/EC
교육을	교육/NNG+을/JKO
거친	거칠/VA+ㄴ/ETM
상담자들은	상담자/NNG+들/XSN+은/JX
1박2일간	1/SN+박/NNB+2/SN+일/NNB+간/NNG
상담훈련	상담/NNG+훈련/NNG
캠프를	캠프/NNG+를/JKO
거쳐	거치/VV+어/EC
본격활동을	본격/NNG+활동/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF
익사	익사/NNG
원인	원인/NNG
수영미숙	수영미숙/NNP
술	술/NNG
심장마비	심장/NNG+마비/NNG
소보원,	소보원/NNG+,/SP
사고	사/VV+고/EC
30건	30/SN+것/NNB+ㄴ/JX
강변에서	강변/NNG+에서/JKB
많고,	많/VA+고/EC+,/SP
수영미숙이	수영미숙/NNP+이/JKS
제일	제/XPN+일/NR
한국소비자보호원은	한국소비자보호원/NNP+은/JX
부산	부산/NNP
경기	경기/NNP
강원	강원/NNP
5	5/SN
시	시/NNG
도	도/NNP
17	17/SN
경찰서에서	경찰서/NNG+에서/JKB
91	91/SN
92년	92/SN+년/NNB
7	7/SN
8월	8/SN+월/NNB
달간에	달/NNG+간/NNB+에/JKB
물놀이사고	물놀이/NNG+사고/NNG
30건을	30/SN+건/NNB+을/JKO
결과,	결과/NNG+,/SP
이같이	이/NP+같이/JKB
드러났다고	드러나/VV+았/EP+다고/EC
19일	19/SN+일/NNB
사고장소로는	사고/NNG+장소/NNG+로/JKB+는/JX
강변이	강변/NNG+이/JKC
44.5%로	44/SN+./SP+5/SN+%/SW+로/JKB
해수욕장	해수욕장/NNG
10.8%,	10/SN+./SP+8/SN+%/SW+,/SP
해변	해변/NNG
10.4%,	10/SN+./SP+4/SN+%/SW+,/SP
기타	기타/NNG
34.3%로	34/SN+./SP+3/SN+%/SW+로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF
수영중	수영중/NNG
익사사고를	익사/NNG+사고/NNG+를/JKO
49.7%로	49/SN+./SP+7/SN+%/SW+로/JKB
많았으나,	많/VA+았/EP+으나/EC+,/SP
물놀이기구	물놀이/NNG+기구/NNG
익사한	익사/NNG+하/XSV+ㄴ/ETM
사람도	사람/NNG+도/JX
21.6%에	21/SN+./SP+6/SN+%/SW+에/JKB
달했고,	달하/VV+았/EP+고/EC+,/SP
어패류	어패/NNG+류/XSN
채취	채취/NNG
물에	물/NNG+에/JKB
빠져	빠지/VV+어/EC
숨진	숨지/VV+ㄴ/ETM
10.5%로	10/SN+./SP+5/SN+%/SW+로/JKB
일요일을	일요일/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
평일중	평일/NNG+중/NNB
화요일이	화요일/NNG+이/JKS
빈발한	빈발/NNG+하/XSV+ㄴ/ETM
1993/07/22	1993/SN+//SP+07/SN+//SP+22/SN
TV보다	TV/SL+보다/JKB
싸고	싸/VV+고/EC
화면	화면/NNG
깨끗…	깨끗/XR+…/SE
모니터	모니터/NNG
보통	보통/NNG
TV	TV/SL
가격인	가격/NNG+이/VCP+ㄴ/ETM
모니터로	모니터/NNG+로/JKB
깨끗한	깨끗/XR+하/XSA+ㄴ/ETM
화질의	화질/NNG+의/JKG
안방	안방/NNG
드라마를	드라마/NNG+를/JKO
즐긴다.	즐기/VV+ㄴ다/EF+./SF
대형	대/NNG+형/XSN
TV가	TV/SL+가/JKS
모으면서	모으/VV+면서/EC
기능은	기능/NNG+은/JX
TV와	TV/SL+와/JC
비슷하고	비슷/XR+하/XSA+고/EC
값은	값/NNG+은/JX
낮은	낮/VA+은/ETM
모니터를	모니터/NNG+를/JKO
모니터는	모니터/NNG+는/JX
TV에서	TV/SL+에서/JKB
전파	전파/NNG
수신기능을	수신/NNG+기능/NNG+을/JKO
빼	빼/VV+어/EC
채널이	채널/NNG+이/JKS
특징.	특징/NNG+./SF
녹화기능이	녹화/NNG+기능/NNG+이/JKS
VCR에	VCR/SL+에/JKB
연결하면	연결/NNG+하/XSV+면/EC
방송을	방송/NNG+을/JKO
TV나	TV/SL+나/JC
다름	다르/VA+ㅁ/ETN
수요가	수요/NNG+가/JKS
아남전자의	아남전자/NNP+의/JKG
연말까지	연말/NNG+까지/JX
지난해보다	지난해/NNG+보다/JKB
22.2%	22/SN+./SP+2/SN+%/SW
판매량이	판매량/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
78억원의	78/SN+억/NR+원/NNB+의/JKG
매출을	매출/NNG+을/JKO
예상하고	예상/NNG+하/XSV+고/EC
노래방	노래방/NNG
가정용이	가정/NNG+용/XSN+이/JKS
절반을	절반/NNG+을/JKO
차지한다고	차지/NNG+하/XSV+ㄴ다고/EC
홍보과	홍보/NNG+과/JC
김성준	김성준/NNP
과장은	과장/NNG+은/JX
아남전자	아남전자/NNP
제품을	제품/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
모니터와	모니터/NNG+와/JC
TV의	TV/SL+의/JKG
비교하면	비교/NNG+하/XSV+면/EC
29인치	29/SN+인치/NNG
기준	기준/NNG
39만원,	39/SN+만/NR+원/NNB+,/SP
89만	89/SN+만/NR
8천원으로	8/SN+천/NR+원/NNB+으로/JKB
2선이다.	2/SN+선/NNG+이/VCP+다/EF+./SF
시중	시중/NNG
VCR의	VCR/SL+의/JKG
판매가격이	판매/NNG+가격/NNG+이/JKS
50만원대	50/SN+만/NR+원/NNB+대/XSN
이상이므로	이상/NNG+이/VCP+므로/EC
VCR을	VCR/SL+을/JKO
구입해도	구입/NNG+하/XSV+아도/EC
한대	한/MM+대/NNB
구입	구입/NNG
비용보다	비용/NNG+보다/JKB
셈이다.	셈/NNB+이/VCP+다/EF+./SF
실버폰	실버폰/NNG
노인	노인/NNG
환자용	환자/NNG+용/XSN
자동	자동/NNG
버튼	버튼/NNG
하나로	하나/NR+로/JKB
송수신…	송수신/NNG+…/SE
움직임	움직임/NNG
없을	없/VA+을/ETM
경보도	경보도/NNG
전화기는	전화기/NNG+는/JX
노인이	노인/NNG+이/JKC
지닌	지니/VV+ㄴ/ETM
비상	비상/NNG
버튼을	버튼/NNG+을/JKO
누르면,	누르/VV+면/EC+,/SP
전화번호가	전화번호/NNG+가/JKS
입력된	입력/NNG+되/XSV+ㄴ/ETM
곳에	곳/NNG+에/JKB
자동으로	자동/NNG+으로/JKB
전화를	전화/NNG+를/JKO
걸어주어	걸/VV+어/EC+주/VX+어/EC
가족이나	가족/NNG+이나/JC
친척에게	친척/NNG+에게/JKB
위급한	위급/NNG+하/XSA+ㄴ/ETM
상황을	상황/NNG+을/JKO
알려준다.	알리/VV+러/EC+주/VX+ㄴ다/EF+./SF
실버폰에는	실버폰/NNG+에/JKB+는/JX
전화번호를	전화번호/NNG+를/JKO
입력할	입력/NNG+하/XSV+ㄹ/ETM
있는데,	있/VV+는데/EC+,/SP
눌러서	누르/VV+어서/EC
번째	번/NNB+째/XSN
수신을	수신/NNG+을/JKO
안할	안/MAG+하/VV+ㄹ/ETM
차례대로	차례/NNG+대로/JX
다음	다음/NNG
전화번호에	전화번호/NNG+에/JKB
신호가	신호/NNG+가/JKS
가도록	가/VV+도록/EC
마이크와	마이크/NNG+와/JC
스피커가	스피커/NNG+가/JKS
장착돼	장착/NNG+되/XSV+어/EC
상대방에서	상대방/NNG+에서/JKB
전화가	전화/NNG+가/JKS
걸려오더라도	걸리/VV+어/EC+오/VX+더라도/EC
누르면	누르/VV+면/EC
전화기와	전화기/NNG+와/JC
2m정도	2/SN+m/SL+정도/NNG
곳에서도	곳/NNG+에서/JKB+도/JX
통화가	통화/NNG+가/JKC
가능하다고	가능/NNG+하/XSA+다고/EC
실버폰을	실버폰/NNG+을/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
㈜에이펙스	㈜/SW+에이펙스/NNP
씨큐리티	씨큐리티/NNG
김재건대표는	김재건/NNP+대표/NNG+는/JX
방이나	방/NNG+이나/JC
거실,	거실/NNG+,/SP
부엌	부엌/NNG
무동작	무동작/NNG
감지센서를	감지/NNG+센서/NNG+를/JKO
설치하면	설치/NNG+하/XSV+면/EC
일정	일정/NNG
실버폰이	실버폰/NNG+이/JKS
스스로	스스로/MAG
걸어주는	걸/VV+어/EC+주/VX+는/ETM
더할	더/MAG+하/XSV+ㄹ/ETM
중환자도	중환자/NNG+도/JX
병원	병원/NNG
입원중에	입원/NNG+중/NNB+에/JKB
알리는	알리/VV+는/ETM
활용할	활용/NNG+하/XSV+ㄹ/ETM
있는데	있/VX+는데/EC
8월중순쯤	8/SN+월/NNB+중순쯤/NNG
시판될	시판/NNG+되/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
대표는	대표/NNG+는/JX
49만	49/SN+만/NR
감지센서	감지/NNG+센서/NNG
8만원.	8/SN+만/NR+원/NNB+./SF
1993/07/25	1993/SN+//SP+07/SN+//SP+25/SN
서양식	서양식/NNG
조리기구	조리/NNG+기구/NNG
찾는다	찾/VV+는다/EC
과자틀	과자/NNG+틀/NNG
커터	커터/NNG
거품기	거품기/NNG
식생활	식생활/NNG
서구화…	서구/NNP+화/XSN+…/SE
코너까지	코너/NNG+까지/JX
식생활이	식생활/NNG+이/JKS
서구화되면서	서구/NNP+화/XSN+되/XSV+면서/EC
조리	조리/NNG
기구에도	기구/NNG+에/JKB+도/JX
주부들의	주부/NNG+들/XSN+의/JKG
높다.	높/VA+다/EF+./SF
가스	가스/NNG
오븐이	오븐/NNG+이/JKS
인기인	인기/NNG+이/VCP+ㄴ/ETM
함께,	함께/MAG+,/SP
거품기,	거품기/NNG+,/SP
커터,	커터/NNG+,/SP
빵틀과	빵틀/NNG+과/JC
과자틀,	과자틀/NNG+,/SP
저울과	저울/NNG+과/JC
계량컵	계량컵/NNG
빵	빵/NNG
과자,	과자/NNG+,/SP
서양	서양/NNG
음식을	음식/NNG+을/JKO
만들기	만들/VV+기/ETN
기구들이	기구/NNG+들/XSN+이/JKS
백화점과	백화점/NNG+과/JC
조리용품	조리/NNG+용품/NNG
시장에	시장/NNG+에/JKB
코너가	코너/NNG+가/JKS
생길	생기/VV+ㄹ/ETM
요리에도	요리/NNG+에/JKB+도/JX
편리하게	한/MM+개/NNB+씩/XSN
이용할	이용/NNG+하/XSV+ㄹ/ETM
기구로	기구/NNG+로/JKB
커터와	커터/NNG+와/JC
그리고	그리고/MAJ
함께	함께/MAG
가진	가지/VV+ㄴ/ETM
만능	만능/NNG
조리기.	조리/NNG+이/VCP+기/ETN+./SF
만능조리기는	만능/NNG+조리/NNG+이/VCP+기/ETN+는/JX
필립스에서	필립스/NNP+에서/JKB
커터는	커터/NNG+는/JX
삼성전자와	삼성전자/NNP+와/JC
금성사,	금성사/NNP+,/SP
동양	동양/NNG
매직	매직/NNG
가전회사들에서도	가전/NNG+회사/NNG+들/XSN+에서/JKB+도/JX
크고	크/VA+고/EC
내놓고	내놓/VV+고/EC
칼날을	칼날/NNG+을/JKO
바꿔	바꾸/VV+어/EC
끼우면	끼우/VV+면/EC
채썰기와	채썰기/NNG+와/JC
도막	도막/NNG
썰기로부터	썰/VV+기/ETN+로부터/JKB
모양내서	모양/NNG+내/VV+서/EC
썰기까지	썰/VV+기/ETN+까지/JX
번에	번/NNB+에/JKB
해낼	해내/VV+ㄹ/ETM
밀가루	밀가루/NNG
반죽,	반죽/NNG+,/SP
생크림	생/XPN+크림/NNG
거품도	거품/NNG+도/JX
만들어	만들/VV+어/EC
낸다.	내/VX+ㄴ다/EF+./SF
12만	12/SN+만/NR
8천원,	8/SN+천/NR+원/NNB+,/SP
19만	19/SN+만/NR
8천원	8/SN+천/NR+원/NNB
두가지가	두/MM+가지/NNB+가/JKS
만능조리기보다	만능/NNG+조리/NNG+이/VCP+기/ETN+보다/JKB
간편한	간편/XR+하/XSA+ㄴ/ETM
손잡이형	손잡이/NNG+형/XSN
재래식	재래식/NNG
거품기와	거품기/NNG+와/JC
생겼으며	생기/VV+었/EP+으며/EC
손잡이	손잡이/NNG
안쪽에	안쪽/NNG+에/JKB
모터가	모터/NNG+가/JKS
달려	달리/VV+어/EC
반죽기를	반죽/NNG+이/VCP+기/ETN+를/JKO
갈아끼우면	갈/VV+아/EC+끼우/VV+면/EC
음식	음식/NNG
재료를	재료/NNG+를/JKO
섞고	섞/VV+고/EC
다지고	다지/VV+고/EC
자르는	자르/VV+는/ETM
이보다	이/NP+보다/JKB
다지기와	다지/VV+기/ETN+와/JC
썰기	썰기/NNG
기능만	기능/NNG+만/JX
가전회사들이	가전/NNG+회사/NNG+들/XSN+이/JKS
2만	2/SN+만/NR
6천∼2만	6/SN+천/NR+∼/SO+2/SN+만/NR
8천원짜리	8/SN+천/NR+원/NNB+짜리/XSN
내놓았다.	내놓/VV+았/EP+다/EF+./SF
빵과	빵/NNG+과/JC
과자를	과자/NNG+를/JKO
가정이	가정/NNG+이/JKS
늘면서	늘/VV+면서/EC
온갖	온갖/MM
빵틀도	빵틀/NNG+도/JX
극히	극히/MAG
드물어,	드물/VA+어/EC+,/SP
반죽판과	반죽판/NNG+과/JC
밀대,	밀대/NNG+,/SP
컵케이크틀,	컵케이크/NNG+틀/NNG+,/SP
대부분이	대부분/NNG+이/JKS
아니면	아니/VCN+면/EC
일본산,	일본/NNP+산/XSN+,/SP
프랑스산	프랑스/NNP+산/XSN
수입품들이다.	수입품/NNG+들/XSN+이/VCP+다/EF+./SF
강남구	강남구/NNP
대치동에	대치동/NNP+에/JKB
생긴	생기/VV+ㄴ/ETM
제과제빵	제과제빵/NNG
백화점이나	백화점/NNG+이나/JC
을지로	을지로/NNP
방산	방산/NNP
제과용품	제과/NNG+용품/NNG
시장,	시장/NNG+,/SP
남대문	남대문/NNP
수입	수입/NNG
상가	상가/NNG
등에도	등/NNB+에/JKB+도/JX
제품들이	제품/NNG+들/XSN+이/JKS
코팅	코팅/NNG
여부와	여부/NNG+와/JC
재료에	재료/NNG+에/JKB
가격은	가격/NNG+은/JX
달라,	다르/VA+아/EC+,/SP
과자틀이	과자틀/NNG+이/JKS
1천원대,	1/SN+천/NR+원/NNB+대/XSN+,/SP
빵틀은	빵틀/NNG+은/JX
5천∼6천원에서	5/SN+천/NR+∼/SO+6/SN+천/NR+원/NNB+에서/JKB
1만∼2만원까지	1/SN+만/NR+∼/SO+2/SN+만/NR+원/NNB+까지/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF
1993/07/30	1993/SN+//SP+07/SN+//SP+30/SN
멋진	멋지/VA+ㄴ/ETM
반주에	반주/NNG+에/JKB
자기노래	자기/NP+노래/NNG
취입	취입/NNG
고객	고객/NNG
유치	유치/NNG
서비스…	서비스/NNG+…/SE
1시간이상	1/SN+시간/NNG+이상/NNG
땐	때/NNG+ㄴ/JX
무료	무료/NNG
노래연습장들이	노래/NNG+연습장/NNG+들/XSN+이/JKS
손님들의	손/NNG+님/XSN+들/XSN+의/JKG
노래를	노래/NNG+를/JKO
녹음해주는	녹음/NNG+하/XSV+아/EC+주/VX+는/ETM
서비스를	서비스/NNG+를/JKO
영상모니터위에	영상/NNG+모니터/NNG+위/NNG+에/JKB
설치해	설치/NNG+하/XSV+아/EC
둔	두/VV+ㄴ/ETM
녹음기를	녹음기/NNG+를/JKO
손님이	손/NNG+님/XSN+이/JKS
조작해	조작/NNG+하/XSV+아/EC
자기노래를	자기/NP+노래/NNG+를/JKO
테이프에	테이프/NNG+에/JKB
담는	담/VV+는/ETM
서비스는	서비스/NNG+는/JX
서울만	서울/NNP+만/JX
노래연습장이	노래/NNG+연습장/NNG+이/JKS
5천여곳에	5/SN+천/NR+여/XSN+곳/NNG+에/JKB
업소간	업소간/NNG
경쟁이	경쟁/NNG+이/JKS
치열해진	치열/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
데다	데/NNB+에/JKB+다/JX
점차	점차/MAG
줄어들자	줄어들/VV+자/EC
봄	봄/NNG
손님유치작전의	손/NNG+님/XSN+유치/NNG+작전/NNG+의/JKG
생겨나	생겨나/VV+아/EC
지금은	지금/NNG+은/JX
90%이상이	90/SN+%/SW+이상/NNG+이/JKS
실시하고	실시/NNG+하/XSV+고/EC
전국노래연습장협회	전국노래연습장협회/NNP
서울시	서울시/NNP
서부지회	서부/NNG+지회/NNG
이동국	이동국/NNP
회장은	회장/NNG+은/JX
노래방을	노래방/NNG+을/JKO
이용하면	이용/NNG+하/XSV+면/EC
해주며,	하/VX+아/EC+주/VX+며/EC+,/SP
테이프값	테이프/NNG+값/NNG
1천원을	1/SN+천/NR+원/NNB+을/JKO
받기도	받/VV+기/ETN+도/JX
1993/08/10	1993/SN+//SP+08/SN+//SP+10/SN
칼더전	칼더전/NNP
조각	조각/NNG
실습	실습/NNG
선재미술관	선재미술관/NNP
부모와	부모/NNG+와/JC
모빌	모빌/NNG
제작…	제작/NNG+…/SE
칼더	칼더/NNP
미술세계	미술/NNG+세계/NNG
체험	체험/NNG
미술관의	미술관/NNG+의/JKG
벽이	벽/NNG+이/JKS
허물어지고	허물어지/VV+고/EC
어른들의	어른/NNG+들/XSN+의/JKG
전유물에서	전유물/NNG+에서/JKB
국민학생과	국민학생/NNG+과/JC
유치원어린이들까지	유치원/NNG+어린이/NNG+들/XSN+까지/JX
참여하고	참여/NNG+하/XSV+고/EC
즐길	즐기/VV+ㄹ/ETM
가족예술공간으로	가족/NNG+예술/NNG+공간/NNG+으로/JKB
바뀌고	바뀌/VV+고/EC
4인1조로	4/SN+인/NNG+1/SN+조/NNG+로/JKB
80여가족(3백여명)의	80/SN+여/XSN+가족/NNG+(/SS+3/SN+백/NR+여/XSN+명/NNB+)/SS+의/JKG
학부모들이	학부모/NNG+들/XSN+이/JKS
미술관측에서	미술관/NNG+측/NNB+에서/JKB
색판지와	색판지/NNG+와/JC
철사	철사/NNG
실	실/NNG
모빌제작에	모빌/NNG+제작/NNG+에/JKB
여념이	여념/NNG+이/JKS
없다.	없/VA+다/EF+./SF
실습에	실습/NNG+에/JKB
앞서	앞서/VV+어/EC
칼더의	칼더/NNP+의/JKG
작품과	작품/NNG+과/JC
공연비디오를	공연/NNG+비디오/NNG+를/JKO
감상한	감상/NNG+하/XSV+ㄴ/ETM
어린이들은	어린이/NNG+들/XSN+은/JX
김정무	김정무/NNP
학예연구원의	학예/NNG+연구원/NNG+의/JKG
설명에	설명/NNG+에/JKB
따라,	따르/VV+아/EC+,/SP
가위로	가위/NNG+로/JKB
빨간색	빨간색/NNG
파란색	파란색/NNG
노란색	노란색/NNG
검정색	검정/NNG+색/NNG
4가지색판지를	4/SN+가지/NNB+색판지/NNG+를/JKO
모양으로	모양/NNG+으로/JKB
오리고,	오리/VV+고/EC+,/SP
거기에	거기/NP+에/JKB
접착색종이로	접착/NNG+색종이/NNG+로/JKB
무늬를	무늬/NNG+를/JKO
오려	오리/VV+어/EC
붙여	붙이/VV+어/EC
철사로	철사/NNG+로/JKB
모빌을	모빌/NNG+을/JKO
만든다.	만들/VV+ㄴ다/EF+./SF
왁자지껄한	왁자지껄/MAG+하/XSV+ㄴ/ETM
가족토론	가족/NNG+토론/NNG
끝에	끝/NNG+에/JKB
물고기	물고기/NNG
비행기	비행기/NNG
꽃	꽃/NNG
나비	나비/NNG
초생달	초생달/NNG
별	별/MM
공룡	공룡/NNG
만들자고	만들/VV+자고/EC
아이들이	아이/NNG+들/XSN+이/JKS
아이디어를	아이디어/NNG+를/JKO
내면,	내/VV+면/EC+,/SP
열심히	열심히/MAG
오려준다.	오리/VV+어/EC+주/VX+ㄴ다/EF+./SF
서울에서	서울/NNP+에서/JKB
여름휴가차	여름휴가차/NNG
경주에	경주/NNP+에/JKB
내려와	내려오/VV+아/EC
참석하게	참석/NNG+하/XSV+게/EC
류창열	류창열/NNP
씨(44.회사원)는	씨/NNB+(/SS+44/SN+./SF+회사원/NNG+)/SS+는/JX
소비적으로	소비/NNG+적/XSN+으로/JKB
보내기보다	보내/VV+기/ETN+보다/JKB
뭔가	뭐/NP+이/VCP+ㄴ가/EC
보람	보람/NNG
하자는	하/VV+자는/ETM
뜻에서	뜻/NNG+에서/JKB
휴가의	휴가/NNG+의/JKG
주제를	주제/NNG+를/JKO
경주탐방으로	경주/NNP+탐방/NNG+으로/JKB
정하고,	정하/VV+고/EC+,/SP
아이들과	아이/NNG+들/XSN+과/JKB
참여했다	참여/NNG+하/XSV+았/EP+다/EC
재민	재민/NNP
군(13)은	군/NNB+(/SS+13/SN+)/SS+은/JX
학교에서	학교/NNG+에서/JKB
보긴	보/VX+기/ETN+ㄴ/JX
했지만,	하/VX+았/EP+지만/EC+,/SP
작품을	작품/NNG+을/JKO
보니까	보/VV+니까/EC
창의력과	창의력/NNG+과/JC
상상력이	상상력/NNG+이/JKS
미술작품이란	미술/NNG+작품/NNG+이/VCP+란/ETM
생각이	생각/NNG+이/JKS
들었다	들/VV+었/EP+다/EC
말하고,	말/NNG+하/XSV+고/EC+,/SP
칼더가	칼더/NNP+가/JKS
이웃집	이웃집/NNG
할아버지처럼	할아버지/NNG+처럼/JKB
가깝게	가깝/VA+게/EC
느껴졌다	느끼/VV+어/EC+지/VX+었/EP+다/EF
밝게	밝/VA+게/EC
웃었다.	웃/VV+었/EP+다/EF+./SF
미술관	미술관/NNG
전시현장에서	전시/NNG+현장/NNG+에서/JKB
어린이조각실습	어린이/NNG+조각/NNG+실습/NNG
프로그램을	프로그램/NNG+을/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
김선정	김선정/NNP
학예연구원은	학예/NNG+연구원/NNG+은/JX
처음엔	처음/NNG+에/JKB+ㄴ/JX
서울이	서울/NNP+이/JKS
아닌	아니/VCN+ㄴ/ETM
지방에서	지방/NNG+에서/JKB
과연	과연/MAG
받을	받/VV+을/ETM
있을까	있/VV+을까/EC
염려했는데,	염려/NNG+하/XSV+았/EP+는데/EC+,/SP
지난달	지난달/NNG
31일에	31/SN+일/NNB+에/JKB
이어,	잇/VV+어/EC+,/SP
오늘도	오늘/NNG+도/JX
의외로	의외로/MAG
가족들이	가족/NNG+들/XSN+이/JKS
찾아와	찾아오/VV+아/EC
준비물이	준비물/NNG+이/JKS
모자랄	모자라/VV+ㄹ/ETM
지경이었다	지경/NNB+이/VCP+었/EP+다/EC
놀라워했다.	놀라워하/VV+았/EP+다/EF+./SF
칼더축제는	칼더/NNP+축제/NNG+는/JX
19일까지	19/SN+일/NNB+까지/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF
창문	창문/NNG
열고	열/VV+고/EC
자는	자/NNB+는/JX
